mechanic,claimed_status,implementation,sensitive_test_reference,referenced_test_files_present,independent_assessment
artifact lands,IMPLEMENTED + TESTED,cards/state/simulator,test_input_integrity.py; test_candidates.py,True,Listed primitive/production regression passes; not proof of full Phase 3 aggregation
ETB-tapped Bridges,IMPLEMENTED + TESTED,state/simulator,test_tapped_lands.py; test_run_c_metrics_statistics_permutations.py,True,Listed primitive/production regression passes; not proof of full Phase 3 aggregation
Giant's Boulder deployment,IMPLEMENTED + TESTED,simulator/effects,test_boulder.py; test_run_e_d03_information_continuation.py,True,Listed primitive/production regression passes; not proof of full Phase 3 aggregation
Giant's Boulder filtering and tap limits,IMPLEMENTED + TESTED,payment/effects,test_boulder.py; test_run_e_d09_boulder_metrics.py,True,Listed primitive/production regression passes; not proof of full Phase 3 aggregation
Giant's Boulder scry,IMPLEMENTED + TESTED,effects/policies,test_scry_no_lookahead.py; test_run_c_causal.py,True,Listed primitive/production regression passes; not proof of full Phase 3 aggregation
affinity and generic cost reduction,IMPLEMENTED + TESTED,mana/payment/simulator,test_affinity.py; test_run_c_payment_and_sequencing.py,True,Listed primitive/production regression passes; not proof of full Phase 3 aggregation
artifact count and Metalcraft,IMPLEMENTED + TESTED,state/effects,test_metalcraft.py; test_run_c_mechanics.py,True,Listed primitive/production regression passes; not proof of full Phase 3 aggregation
Baleful Strix distinct UB payment,IMPLEMENTED + TESTED,payment/simulator,test_payment.py; test_run_c_payment_and_sequencing.py,True,Listed primitive/production regression passes; not proof of full Phase 3 aggregation
Dispatch white payment,IMPLEMENTED + TESTED,payment/simulator,test_opponent_reserve.py,True,Listed primitive/production regression passes; not proof of full Phase 3 aggregation
Dispatch Metalcraft distinction,IMPLEMENTED + TESTED,state/simulator,test_metalcraft.py; test_run_e_d08_metric_windows.py,True,Listed primitive/production regression passes; not proof of full Phase 3 aggregation
Glint Hawk return and replay,IMPLEMENTED + TESTED,effects/simulator,test_glint_hawk.py; test_run_e_d06_hawk_functionality.py,True,Listed primitive/production regression passes; not proof of full Phase 3 aggregation
Reckoner's Bargain payment sacrifice and resource effects,IMPLEMENTED + TESTED,effects/simulator,test_bargain.py; test_run_e_d04_bargain_land_loss.py; test_run_e_d05_trigger_composition.py,True,Listed primitive/production regression passes; not proof of full Phase 3 aggregation
Thoughtcast affinity and draw,IMPLEMENTED + TESTED,simulator,test_affinity.py; test_run_e_d03_information_continuation.py,True,Listed primitive/production regression passes; not proof of full Phase 3 aggregation
Myr Enforcer affinity,IMPLEMENTED + TESTED,simulator/validation,test_myr_enforcer.py; test_affinity.py,True,Listed primitive/production regression passes; not proof of full Phase 3 aggregation
Refurbished Familiar affinity,IMPLEMENTED + TESTED,simulator,test_familiar.py; test_affinity.py,True,Listed primitive/production regression passes; not proof of full Phase 3 aggregation
Refurbished Familiar opponent-dependent draw,NOT MATERIAL,simulator/test fixture,test_familiar.py,True,FAIL containment/reachability; see discussion below
Utrom Monitor affinity,IMPLEMENTED + TESTED,simulator/payment,test_affinity.py; test_run_c_payment_and_sequencing.py,True,Listed primitive/production regression passes; not proof of full Phase 3 aggregation
Cryogen Relic enter and leave draws,IMPLEMENTED + TESTED,effects/simulator,test_cryogen.py; test_run_e_d05_trigger_composition.py,True,Listed primitive/production regression passes; not proof of full Phase 3 aggregation
opponent-turn Blast Dispatch Bargain availability,IMPLEMENTED + TESTED,policies/simulator,test_opponent_reserve.py; test_run_e_d08_metric_windows.py,True,Listed primitive/production regression passes; not proof of full Phase 3 aggregation
Blood token activation,IMPLEMENTED + TESTED,effects,test_blood_token.py,True,FAIL containment/reachability; see discussion below
Blood Fountain late recursion,NOT MATERIAL,frozen containment,no production target model,False,FAIL containment/reachability; see discussion below
Nihil Spellbomb optional black draw,IMPLEMENTED + TESTED,effects/simulator,test_spellbomb.py; test_run_e_d11_option_events.py,True,Listed primitive/production regression passes; not proof of full Phase 3 aggregation
Makeshift Munitions activation,IMPLEMENTED + TESTED,effects,test_run_c_mechanics.py,True,FAIL containment/reachability; see discussion below
Cryogen stun activation,IMPLEMENTED + TESTED,effects,test_cryogen.py,True,FAIL containment/reachability; see discussion below
opponent target arrival/value,NOT MATERIAL,model boundary,mechanic registry validation,False,FAIL containment/reachability; see discussion below
opponent removal and Bridge indestructibility,NOT MATERIAL,goldfish model boundary,mechanic registry validation,False,FAIL containment/reachability; see discussion below
London mulligan,IMPLEMENTED + TESTED,mulligan,test_mulligan.py; test_mulligan_no_lookahead.py,True,Listed primitive/production regression passes; not proof of full Phase 3 aggregation
play versus draw,IMPLEMENTED + TESTED,state/simulator,test_play_draw.py,True,Listed primitive/production regression passes; not proof of full Phase 3 aggregation
