field,frozen_value,assessment,reason
schema_version,"""mana-lab-phase3-run-g-v1""",PASS,Version matches validator.
experiment.id,"""strixpatch-affinity-v1.3-phase3-rung-freeze""",DESCRIPTIVE,Identity/date/purpose only; no evidence of post-result tuning observed.
experiment.frozen_at,"""2026-09-18""",DESCRIPTIVE,Identity/date/purpose only; no evidence of post-result tuning observed.
experiment.purpose,"""Executable Phase 3 design frozen for independent Run H authorization; Run G does not authorize or execute optimization.""",DESCRIPTIVE,Identity/date/purpose only; no evidence of post-result tuning observed.
phase_control.authorization_status,"""PENDING_INDEPENDENT_RUN_H""",FAIL,Safe refusal now; no complete separately authorized production route.
phase_control.optimization_execution_allowed,false,FAIL,Safe refusal now; no complete separately authorized production route.
phase_control.real_candidate_performance_allowed_in_readiness,false,FAIL,Safe refusal now; no complete separately authorized production route.
phase_control.readiness_mode,"""SYNTHETIC_DRY_RUN_ONLY""",FAIL,Safe refusal now; no complete separately authorized production route.
input.parent_archive.name,"""Mana_Lab_Pauper_v1_Run_E.zip""",PARTIAL,Deck and exact parent independently match; validator alone does not enforce parent mutation; simulator horizon is hardcoded 1..4.
input.parent_archive.sha256,"""82d1dcd663de5a8bcb2d9917271fba264c509bdff8b45d1920b9f97ccf0d0c71""",PARTIAL,Deck and exact parent independently match; validator alone does not enforce parent mutation; simulator horizon is hardcoded 1..4.
input.deck_spec.path,"""configs/decks/Strixpatch_Affinity_v1.3.deck.yaml""",PARTIAL,Deck and exact parent independently match; validator alone does not enforce parent mutation; simulator horizon is hardcoded 1..4.
input.deck_spec.sha256,"""e0e18170cc3d362ae697726115381dcf3ec6ad3a4140ce46b388269ca0f9303a""",PARTIAL,Deck and exact parent independently match; validator alone does not enforce parent mutation; simulator horizon is hardcoded 1..4.
input.deck_size,60,PARTIAL,Deck and exact parent independently match; validator alone does not enforce parent mutation; simulator horizon is hardcoded 1..4.
input.frozen_nonlands,41,PARTIAL,Deck and exact parent independently match; validator alone does not enforce parent mutation; simulator horizon is hardcoded 1..4.
input.exact_land_count,19,PARTIAL,Deck and exact parent independently match; validator alone does not enforce parent mutation; simulator horizon is hardcoded 1..4.
input.target_turn_horizon,4,PARTIAL,Deck and exact parent independently match; validator alone does not enforce parent mutation; simulator horizon is hardcoded 1..4.
candidate_space.expected_count,296706,PARTIAL,Counts/set/C0/boundary correct for deck; mutated c0 accepted; protection is not carried through stages.
candidate_space.expected_canonical_set_sha256,"""d9bff0652d2d449f761205575b63af0db5205c3354705c82302fa8b649de78e3""",PARTIAL,Counts/set/C0/boundary correct for deck; mutated c0 accepted; protection is not carried through stages.
candidate_space.protect_c0_every_serious_stage,true,PARTIAL,Counts/set/C0/boundary correct for deck; mutated c0 accepted; protection is not carried through stages.
candidate_space.protect_minimum_bridge_class,true,PARTIAL,Counts/set/C0/boundary correct for deck; mutated c0 accepted; protection is not carried through stages.
candidate_space.expected_minimum_bridge_class_count,56,PARTIAL,Counts/set/C0/boundary correct for deck; mutated c0 accepted; protection is not carried through stages.
candidate_space.candidate_identity,"""SHA-256 of canonical sorted land-name:count pairs; display key retains canonical pairs""",PARTIAL,Counts/set/C0/boundary correct for deck; mutated c0 accepted; protection is not carried through stages.
candidate_space.c0.Ancient Den,3,PARTIAL,Counts/set/C0/boundary correct for deck; mutated c0 accepted; protection is not carried through stages.
candidate_space.c0.Seat of the Synod,4,PARTIAL,Counts/set/C0/boundary correct for deck; mutated c0 accepted; protection is not carried through stages.
candidate_space.c0.Vault of Whispers,4,PARTIAL,Counts/set/C0/boundary correct for deck; mutated c0 accepted; protection is not carried through stages.
candidate_space.c0.Great Furnace,4,PARTIAL,Counts/set/C0/boundary correct for deck; mutated c0 accepted; protection is not carried through stages.
candidate_space.c0.Razortide Bridge,1,PARTIAL,Counts/set/C0/boundary correct for deck; mutated c0 accepted; protection is not carried through stages.
candidate_space.c0.Goldmire Bridge,1,PARTIAL,Counts/set/C0/boundary correct for deck; mutated c0 accepted; protection is not carried through stages.
candidate_space.c0.Mistvault Bridge,2,PARTIAL,Counts/set/C0/boundary correct for deck; mutated c0 accepted; protection is not carried through stages.
candidate_space.c0.Drossforge Bridge,0,PARTIAL,Counts/set/C0/boundary correct for deck; mutated c0 accepted; protection is not carried through stages.
candidate_space.c0.Rustvale Bridge,0,PARTIAL,Counts/set/C0/boundary correct for deck; mutated c0 accepted; protection is not carried through stages.
candidate_space.c0.Silverbluff Bridge,0,PARTIAL,Counts/set/C0/boundary correct for deck; mutated c0 accepted; protection is not carried through stages.
pipeline.stages.0,"""01_validate""",FAIL,Order labels implemented; prerequisite code/policy/seed/content verification prose not implemented.
pipeline.stages.1,"""02_enumerate""",FAIL,Order labels implemented; prerequisite code/policy/seed/content verification prose not implemented.
pipeline.stages.2,"""03_screen""",FAIL,Order labels implemented; prerequisite code/policy/seed/content verification prose not implemented.
pipeline.stages.3,"""04_medium""",FAIL,Order labels implemented; prerequisite code/policy/seed/content verification prose not implemented.
pipeline.stages.4,"""05_select_finalists""",FAIL,Order labels implemented; prerequisite code/policy/seed/content verification prose not implemented.
pipeline.stages.5,"""06_fresh_validation""",FAIL,Order labels implemented; prerequisite code/policy/seed/content verification prose not implemented.
pipeline.stages.6,"""07_robustness""",FAIL,Order labels implemented; prerequisite code/policy/seed/content verification prose not implemented.
pipeline.stages.7,"""08_frontier""",FAIL,Order labels implemented; prerequisite code/policy/seed/content verification prose not implemented.
pipeline.stages.8,"""09_report""",FAIL,Order labels implemented; prerequisite code/policy/seed/content verification prose not implemented.
pipeline.prerequisite_rule,"""Every stage reads the prior immutable manifest, verifies config/code/seed/policy hashes, and aborts on missing or mismatched prerequisites.""",FAIL,Order labels implemented; prerequisite code/policy/seed/content verification prose not implemented.
pipeline.dry_run_fixture,"""Four synthetic candidates exercise protection, low-N retention, uncertain retention, and decisive dominance; no real candidate performance is evaluated.""",FAIL,Order labels implemented; prerequisite code/policy/seed/content verification prose not implemented.
randomness.selection_seed,2026091701,PARTIAL,All six seed values distinct; production replicate/purpose allocation and inaccessible validation rows not implemented.
randomness.validation_seed,2026091702,PARTIAL,All six seed values distinct; production replicate/purpose allocation and inaccessible validation rows not implemented.
randomness.replicate_seeds.0,2026091703,PARTIAL,All six seed values distinct; production replicate/purpose allocation and inaccessible validation rows not implemented.
randomness.replicate_seeds.1,2026091704,PARTIAL,All six seed values distinct; production replicate/purpose allocation and inaccessible validation rows not implemented.
randomness.replicate_seeds.2,2026091705,PARTIAL,All six seed values distinct; production replicate/purpose allocation and inaccessible validation rows not implemented.
randomness.replicate_seeds.3,2026091706,PARTIAL,All six seed values distinct; production replicate/purpose allocation and inaccessible validation rows not implemented.
randomness.seed_derivation,"""SHA-256(purpose|scenario|replicate|trial|mulligan_attempt); candidate identity and iteration order excluded""",PARTIAL,All six seed values distinct; production replicate/purpose allocation and inaccessible validation rows not implemented.
randomness.pairing_keys.0,"""scenario""",PARTIAL,All six seed values distinct; production replicate/purpose allocation and inaccessible validation rows not implemented.
randomness.pairing_keys.1,"""replicate""",PARTIAL,All six seed values distinct; production replicate/purpose allocation and inaccessible validation rows not implemented.
randomness.pairing_keys.2,"""trial""",PARTIAL,All six seed values distinct; production replicate/purpose allocation and inaccessible validation rows not implemented.
randomness.pairing_keys.3,"""on_play""",PARTIAL,All six seed values distinct; production replicate/purpose allocation and inaccessible validation rows not implemented.
randomness.validation_isolation,"""Validation seed and all validation event rows are inaccessible to screening, profile construction, and finalist selection.""",PARTIAL,All six seed values distinct; production replicate/purpose allocation and inaccessible validation rows not implemented.
trial_plan.screening_trials_per_candidate,512,FAIL,512/8192/32768 positive; adaptive batch/cap and replicate semantics not operational; zero adaptive batch accepted.
trial_plan.medium_trials_per_candidate,8192,FAIL,512/8192/32768 positive; adaptive batch/cap and replicate semantics not operational; zero adaptive batch accepted.
trial_plan.validation_trials_per_candidate,32768,FAIL,512/8192/32768 positive; adaptive batch/cap and replicate semantics not operational; zero adaptive batch accepted.
trial_plan.validation_adaptive_batch,16384,FAIL,512/8192/32768 positive; adaptive batch/cap and replicate semantics not operational; zero adaptive batch accepted.
trial_plan.validation_adaptive_cap,131072,FAIL,512/8192/32768 positive; adaptive batch/cap and replicate semantics not operational; zero adaptive batch accepted.
trial_plan.replicate_count,4,FAIL,512/8192/32768 positive; adaptive batch/cap and replicate semantics not operational; zero adaptive batch accepted.
trial_plan.rationale,"""Nonzero preregistered counts; screening is conservative and cannot eliminate on noisy means; confirmatory precision is increased only for unresolved finalists.""",FAIL,512/8192/32768 positive; adaptive batch/cap and replicate semantics not operational; zero adaptive batch accepted.
scenarios.primary_play_draw.0.id,"""on_play""",FAIL,50/50 values specified but invalid weights/depth accepted; no config consumer for independent policy axes.
scenarios.primary_play_draw.0.weight,0.5,FAIL,50/50 values specified but invalid weights/depth accepted; no config consumer for independent policy axes.
scenarios.primary_play_draw.1.id,"""on_draw""",FAIL,50/50 values specified but invalid weights/depth accepted; no config consumer for independent policy axes.
scenarios.primary_play_draw.1.weight,0.5,FAIL,50/50 values specified but invalid weights/depth accepted; no config consumer for independent policy axes.
scenarios.primary_mulligan,"""baseline_functional_london""",FAIL,50/50 values specified but invalid weights/depth accepted; no config consumer for independent policy axes.
scenarios.alternate_mulligan,"""alternate_landcount_london""",FAIL,50/50 values specified but invalid weights/depth accepted; no config consumer for independent policy axes.
scenarios.primary_sequencing,"""baseline_hand_demand""",FAIL,50/50 values specified but invalid weights/depth accepted; no config consumer for independent policy axes.
scenarios.alternate_sequencing,"""alternate_tempo_untapped""",FAIL,50/50 values specified but invalid weights/depth accepted; no config consumer for independent policy axes.
scenarios.primary_reserve,"""reserve_one_reply""",FAIL,50/50 values specified but invalid weights/depth accepted; no config consumer for independent policy axes.
scenarios.alternate_reserve,"""tap_out_development""",FAIL,50/50 values specified but invalid weights/depth accepted; no config consumer for independent policy axes.
scenarios.primary_scry,"""boulder_scry_baseline""",FAIL,50/50 values specified but invalid weights/depth accepted; no config consumer for independent policy axes.
scenarios.alternate_scry,"""boulder_scry_alternate""",FAIL,50/50 values specified but invalid weights/depth accepted; no config consumer for independent policy axes.
scenarios.primary_information,"""baseline_information_value""",FAIL,50/50 values specified but invalid weights/depth accepted; no config consumer for independent policy axes.
scenarios.alternate_information,"""conservative_information_value""",FAIL,50/50 values specified but invalid weights/depth accepted; no config consumer for independent policy axes.
scenarios.planner_search_depth,8,FAIL,50/50 values specified but invalid weights/depth accepted; no config consumer for independent policy axes.
