id,category,requirement,evidence,status,residual_risk
F-01,Pipeline,"Executable staged Phase 3 graph with dry-run, protected retention, seed switch, manifests and hard prerequisites","src/mana_lab/phase3_pipeline.py; test_run_g_dominance_pipeline.py",PASS,"Real optimization remains intentionally authorization-blocked and was not executed"
F-02,Profiles,"Exact named metric vectors, directions, aggregation, tolerances, missingness, uncertainty, overlap and sensitivity variants","RUN_G_PHASE3_FROZEN_CONFIG.yaml; src/mana_lab/phase3_profiles.py; test_run_g_config_profiles.py",PASS,"Profile priorities remain subjective preregistered model assumptions"
F-03,Metrics,"Registry-complete aggregation routing, event identity validation, denominator reconstruction and critical-sequence joins","src/mana_lab/phase3_metrics.py; test_run_g_event_aggregation.py",PASS,"Target-dependent opponent value remains excluded rather than estimated"
F-04,Dominance,"Direction/tolerance/paired-uncertainty-aware relation; unresolved comparisons retained","src/mana_lab/metrics.py; test_run_g_dominance_pipeline.py",PASS,"Final frontier still requires independent validation data in a later authorized run"
F-05,Policies,"Stable identities/hashes and executable independent reserve dimension including true tap-out","src/mana_lab/phase3_policies.py; src/mana_lab/policies.py; src/mana_lab/simulator.py",PASS,"Policy choice remains model uncertainty and is included in robustness"
F-06,Mechanics,"Benchmark registry classifies and contains every required mechanic; no ranking-relevant gap","RUN_G_MECHANICS_COVERAGE.csv; validate_mechanic_registry",PASS,"Opponent/target arrival is a declared model boundary"
F-07,Planner,"Six structural classes stable at depths 7/8/9 with terminal-state counts and reserve sensitivity","src/mana_lab/phase3_depth.py; planner_depth_structural_audit.json",PASS,"Finite fixture coverage cannot prove global search completeness"
F-08,Provenance,"Allowlisted cache-free source/config/test manifest and content-tree hash","src/mana_lab/provenance.py; outputs/run_g/source_config_manifest.json",PASS,"ZIP has no Git history; content-tree identity is authoritative"
G7-01,Tests,"Run E regressions remain passing",205 tests total including original 179, PASS,"None observed"
G7-02,Tests,"Config completeness and seed partition",test_run_g_config_profiles.py,PASS,"None observed"
G7-03,Tests,"C0 forced retention and insufficient-evidence safety",test_run_g_dominance_pipeline.py,PASS,"Screening safety depends on frozen rule remaining unchanged"
G7-04,Tests,"Candidate neutrality/order invariance",existing Run E tests plus policy source scan,PASS,"None observed"
G7-05,Tests,"Policy drift abort",test_run_g_config_profiles.py,PASS,"Registry version must be updated deliberately for future changes"
G7-06,Tests,"Unsupported ranking mechanic blocks",test_run_g_policy_mechanics_depth.py,PASS,"NOT MATERIAL classifications require Run H review"
G7-07,Tests,"Dry run produces no ranking/recommendation and reproduces",test_run_g_dominance_pipeline.py,PASS,"Synthetic dry run is wiring evidence only"
G7-08,Tests,"Output schema includes candidate/config/policy/seed provenance",09_report.json schema probe,PASS,"Future storage format may be CSV or Parquet but fields are fixed"
G8,Readiness,"One-command machine-readable non-optimizing readiness gate","python -m mana_lab.phase3_readiness",PASS,"Requires exact Run E parent path as an explicit argument"
SCOPE,No optimization,"No real candidate performance screening ranking frontier or recommendation",RUN_G_NO_OPTIMIZATION_ATTESTATION.md,PASS,"Deterministic enumeration of candidate identities occurred"
